seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(20331,1,18,0)	0	0	900	997
(20331,1,25,0)	0	0	257	673
(20331,1,123,0)	0	0	921	976
(20331,1,131,0)	0	0	382	834
(20331,1,165,0)	0	0	890	977
(20331,1,167,0)	0	0	965	967
(20332,0,32,0)	0	0	826	903
(20332,0,109,0)	0	0	767	925
(20332,1,17,0)	0	0	544	922
(20332,1,22,0)	0	0	692	946
(20332,1,38,0)	0	0	431	934
(20332,1,91,0)	0	0	771	916
(20332,1,118,0)	0	0	938	957
(20332,1,144,0)	0	0	546	961
(20332,1,159,0)	0	0	494	907
(20333,0,111,0)	0	0	551	941
(20333,0,138,0)	0	0	648	877
(20333,0,149,0)	0	0	809	963
(20333,0,161,0)	0	0	674	879
(20333,1,13,0)	0	0	405	781
(20333,1,50,0)	0	0	946	978
(20333,1,92,0)	0	0	687	882
(20333,1,132,0)	0	0	868	980
(20333,1,156,0)	0	0	653	870
(20334,0,102,0)	0	0	528	680
(20334,1,47,0)	0	0	996	1000
(20334,1,66,0)	0	0	229	828
(20334,1,71,0)	0	0	737	925
(20334,1,88,0)	0	0	631	911
(20334,1,100,0)	0	0	910	962
(20335,0,37,0)	0	0	745	980
(20335,0,130,0)	0	0	832	971
(20335,1,13,0)	0	0	720	835
(20335,1,74,0)	0	0	749	963
(20335,1,164,0)	0	0	961	992
(20335,1,178,0)	0	0	996	1000
(20335,1,187,0)	0	0	650	924
(20336,1,16,0)	0	0	589	893
(20336,1,67,0)	0	0	346	899
(20336,1,107,0)	0	0	507	899
(20336,1,161,0)	0	0	598	880
(20336,1,165,0)	0	0	733	980
(20336,1,172,0)	0	0	912	943
(20337,0,49,0)	0	0	738	938
(20337,0,56,0)	0	0	696	950
(20337,0,167,0)	0	0	795	936
(20337,0,187,0)	0	0	694	871
(20337,1,9,0)	0	0	712	807
(20337,1,39,0)	0	0	773	889
(20337,1,53,0)	0	0	677	880
(20337,1,144,0)	0	0	583	902
(20337,1,178,0)	0	0	711	895
(20337,1,183,0)	0	0	622	971
(20338,0,27,0)	0	0	765	879
(20338,0,124,0)	0	0	389	816
(20338,0,184,0)	0	0	601	867
(20338,1,5,0)	0	0	945	991
(20338,1,35,0)	0	0	767	940
(20338,1,64,0)	0	0	883	968
(20338,1,145,0)	0	0	217	597
(20338,1,156,0)	0	0	670	921
(20338,1,170,0)	0	0	766	925
(20338,1,191,0)	0	0	924	982
(20339,0,35,0)	0	0	710	928
(20339,0,104,0)	0	0	417	893
(20339,0,187,0)	0	0	567	789
(20339,1,11,0)	0	0	645	918
(20339,1,14,0)	0	0	612	927
(20339,1,22,0)	0	0	590	880
(20339,1,27,0)	0	0	537	924
(20339,1,53,0)	0	0	994	993
(20339,1,139,0)	0	0	650	912
(20339,1,192,0)	0	0	539	845
(20339,1,194,0)	0	0	295	833
(20340,0,164,0)	0	0	113	552
(20340,1,83,0)	0	0	766	947
(20340,1,84,0)	0	0	747	916
(20340,1,115,0)	0	0	448	836
(20340,1,133,0)	0	0	689	954
(20340,1,148,0)	0	0	492	895
(20341,1,4,0)	0	0	986	1000
(20341,1,13,0)	0	0	457	875
(20341,1,53,0)	0	0	891	983
(20341,1,66,0)	0	0	871	948
(20341,1,96,0)	0	0	545	937
(20341,1,124,0)	0	0	726	904
(20341,1,184,0)	0	0	766	934
(20341,1,211,0)	0	0	814	975
(20342,0,26,0)	0	0	601	894
(20342,0,146,0)	0	0	416	804
(20342,1,48,0)	0	0	444	940
(20342,1,66,0)	0	0	781	955
(20342,1,86,0)	0	0	884	968
(20342,1,99,0)	0	0	852	961
(20342,1,119,0)	0	0	748	930
(20342,1,136,0)	0	0	298	888
(20342,1,138,0)	0	0	772	878
(20342,1,149,0)	0	0	773	970
(20342,1,193,0)	0	0	612	940
(20342,1,205,0)	0	0	449	920
(20343,0,2,0)	0	0	373	880
(20343,0,15,0)	0	0	903	971
(20343,0,25,0)	0	0	447	842
(20343,1,6,0)	0	0	818	962
(20343,1,12,0)	0	0	948	988
(20343,1,91,0)	0	0	719	925
(20343,1,131,0)	0	0	693	938
(20343,1,176,0)	0	0	731	961
(20344,0,119,0)	0	0	701	900
(20344,1,55,0)	0	0	772	954
(20345,0,45,0)	0	0	797	975
(20345,0,75,0)	0	0	710	903
(20345,0,116,0)	0	0	673	900
(20345,1,8,0)	0	0	539	943
(20345,1,46,0)	0	0	626	963
(20345,1,52,0)	0	0	862	949
(20345,1,112,0)	0	0	549	891
(20345,1,117,0)	0	0	434	873
(20345,1,120,0)	0	0	728	876
(20345,1,138,0)	0	0	703	931
(20345,1,140,0)	0	0	579	853
(20345,1,192,0)	0	0	511	922
(20346,0,70,0)	0	0	410	978
(20346,1,4,0)	0	0	703	977
(20346,1,27,0)	0	0	725	985
(20346,1,32,0)	0	0	770	992
(20346,1,85,0)	0	0	817	948
(20346,1,108,0)	0	0	723	968
(20346,1,137,0)	0	0	734	936
(20346,1,170,0)	0	0	816	963
(20347,0,26,0)	0	0	591	872
(20347,0,86,0)	0	0	558	970
(20347,1,42,0)	0	0	985	999
(20347,1,69,0)	0	0	754	933
(20347,1,85,0)	0	0	750	914
(20347,1,110,0)	0	0	802	955
(20347,1,134,0)	0	0	633	858
(20347,1,162,0)	0	0	914	962
(20348,0,95,0)	0	0	760	850
(20348,1,30,0)	0	0	896	984
(20348,1,105,0)	0	0	854	996
(20348,1,107,0)	0	0	505	889
(20348,1,152,0)	0	0	872	976
(20349,0,103,0)	0	0	270	656
(20349,0,117,0)	0	0	613	881
(20349,0,185,0)	0	0	974	974
(20349,1,6,0)	0	0	507	926
(20349,1,33,0)	0	0	499	898
(20349,1,38,0)	0	0	922	996
(20349,1,77,0)	0	0	697	874
(20349,1,97,0)	0	0	494	937
(20349,1,124,0)	0	0	685	955
(20349,1,125,0)	0	0	747	908
(20349,1,183,0)	0	0	646	933
(20349,1,185,0)	0	0	520	885
(20350,0,10,0)	0	0	917	972
(20350,0,23,0)	0	0	561	844
(20350,0,80,0)	0	0	886	934
(20350,0,133,0)	0	0	783	900
(20350,1,24,0)	0	0	765	959
(20350,1,27,0)	0	0	697	915
(20350,1,55,0)	0	0	747	933
(20350,1,68,0)	0	0	521	935
(20351,0,112,0)	0	0	555	884
(20351,0,115,0)	0	0	513	875
(20351,1,8,0)	0	0	775	963
(20351,1,26,0)	0	0	783	911
(20351,1,79,0)	0	0	853	976
(20351,1,86,0)	0	0	555	944
(20351,1,99,0)	0	0	32	1
(20351,1,147,0)	0	0	794	954
(20351,1,199,0)	0	0	749	936
(20352,0,28,0)	0	0	665	928
(20352,0,48,0)	0	0	726	959
(20352,0,128,0)	0	0	434	835
(20352,0,144,0)	0	0	543	858
(20352,1,36,0)	0	0	793	971
(20352,1,80,0)	0	0	824	952
(20352,1,92,0)	0	0	918	949
(20352,1,139,0)	0	0	668	848
(20352,1,160,0)	0	0	315	840
(20353,0,193,0)	0	0	582	856
(20353,1,11,0)	0	0	448	880
(20353,1,64,0)	0	0	990	970
(20353,1,109,0)	0	0	178	514
(20353,1,167,0)	0	0	940	1000
(20353,1,184,0)	0	0	297	906
(20354,0,55,0)	0	0	773	970
(20354,0,167,0)	0	0	423	824
(20354,0,181,0)	0	0	978	1000
(20354,1,13,0)	0	0	519	881
(20354,1,49,0)	0	0	571	890
(20354,1,61,0)	0	0	546	915
(20354,1,108,0)	0	0	618	940
(20354,1,112,0)	0	0	348	850
(20354,1,168,0)	0	0	843	936
(20354,1,213,0)	0	0	973	999
(20354,1,216,0)	0	0	877	978
(20354,1,227,0)	0	0	747	950
(20355,0,55,0)	0	0	99	719
(20355,0,155,0)	0	0	521	769
(20355,0,167,0)	0	0	804	930
(20355,1,39,0)	0	0	655	896
(20355,1,77,0)	0	0	863	975
(20355,1,109,0)	0	0	790	936
(20355,1,159,0)	0	0	785	905
(20355,1,173,0)	0	0	646	965
(20355,1,187,0)	0	0	731	916
(20356,0,165,0)	0	0	291	694
(20356,1,3,0)	0	0	658	871
(20356,1,10,0)	0	0	913	916
(20356,1,26,0)	0	0	50	324
(20356,1,44,0)	0	0	482	889
(20356,1,107,0)	0	0	937	934
(20356,1,123,0)	0	0	955	996
(20356,1,136,0)	0	0	205	898
(20357,0,51,0)	0	0	417	801
(20357,0,69,0)	0	0	538	867
(20357,0,86,0)	0	0	856	969
(20357,1,0,0)	0	0	767	859
(20357,1,83,0)	0	0	788	964
(20357,1,105,0)	0	0	618	940
(20357,1,155,0)	0	0	570	873
(20357,1,199,0)	0	0	497	719
(20358,0,55,0)	0	0	141	533
(20358,1,65,0)	0	0	939	982
(20358,1,78,0)	0	0	498	921
(20358,1,90,0)	0	0	888	945
(20358,1,116,0)	0	0	715	790
(20358,1,142,0)	0	0	349	834
(20358,1,155,0)	0	0	693	964
(20358,1,182,0)	0	0	275	647
(20359,0,6,0)	0	0	381	873
(20359,0,160,0)	0	0	933	954
(20359,0,177,0)	0	0	474	785
(20359,1,36,0)	0	0	763	948
(20359,1,67,0)	0	0	644	906
(20359,1,68,0)	0	0	508	737
(20359,1,72,0)	0	0	771	980
(20359,1,79,0)	0	0	737	899
(20359,1,91,0)	0	0	862	996
(20359,1,113,0)	0	0	842	953
(20359,1,127,0)	0	0	610	951
(20359,1,137,0)	0	0	434	896
(20359,1,184,0)	0	0	867	959
(20360,0,81,0)	0	0	471	802
(20360,0,138,0)	0	0	558	869
(20360,1,13,0)	0	0	482	912
(20360,1,45,0)	0	0	465	888
(20360,1,140,0)	0	0	958	986
(20361,0,29,0)	0	0	629	945
(20361,0,46,0)	0	0	809	947
(20361,0,144,0)	0	0	692	915
(20361,0,196,0)	0	0	692	922
(20361,1,11,0)	0	0	749	950
(20361,1,29,0)	0	0	941	1000
(20361,1,104,0)	0	0	875	986
(20361,1,185,0)	0	0	509	954
(20362,0,71,0)	0	0	676	883
(20362,0,82,0)	0	0	513	745
(20362,1,0,0)	0	0	996	1000
(20362,1,26,0)	0	0	890	988
(20362,1,29,0)	0	0	873	983
(20362,1,55,0)	0	0	721	930
(20362,1,59,0)	0	0	618	946
(20362,1,74,0)	0	0	771	938
(20362,1,110,0)	0	0	871	987
(20362,1,115,0)	0	0	808	979
(20362,1,178,0)	0	0	453	888
(20363,0,38,0)	0	0	947	1000
(20363,1,35,0)	0	0	705	909
(20363,1,41,0)	0	0	549	862
(20363,1,140,0)	0	0	591	953
(20364,0,15,0)	0	0	362	765
(20364,0,29,0)	0	0	979	955
(20364,0,71,0)	0	0	782	970
(20364,0,80,0)	0	0	915	978
(20364,1,7,0)	0	0	293	898
(20364,1,59,0)	0	0	891	986
(20364,1,124,0)	0	0	702	906
(20364,1,140,0)	0	0	669	912
(20365,0,99,0)	0	0	527	880
(20365,0,105,0)	0	0	424	862
(20365,1,25,0)	0	0	919	972
(20365,1,51,0)	0	0	962	936
(20365,1,54,0)	0	0	983	970
(20365,1,62,0)	0	0	252	813
(20365,1,68,0)	0	0	778	962
(20365,1,103,0)	0	0	870	952
(20365,1,113,0)	0	0	495	882
(20365,1,142,0)	0	0	678	906
(20365,1,152,0)	0	0	489	818
(20365,1,170,0)	0	0	771	987
(20366,0,42,0)	0	0	1000	971
(20366,0,199,0)	0	0	729	897
(20366,1,46,0)	0	0	840	851
(20366,1,53,0)	0	0	801	885
(20366,1,86,0)	0	0	629	978
(20366,1,148,0)	0	0	980	1000
(20366,1,176,0)	0	0	809	932
(20367,0,7,0)	0	0	550	945
(20367,0,58,0)	0	0	692	900
(20367,0,137,0)	0	0	386	849
(20367,0,165,0)	0	0	976	938
(20367,1,12,0)	0	0	931	988
(20367,1,18,0)	0	0	705	860
(20367,1,30,0)	0	0	697	975
(20367,1,50,0)	0	0	655	923
(20367,1,62,0)	0	0	608	966
(20367,1,106,0)	0	0	697	926
(20368,0,92,0)	0	0	773	978
(20368,0,157,0)	0	0	661	962
(20368,0,172,0)	0	0	738	989
(20368,1,20,0)	0	0	855	935
(20368,1,69,0)	0	0	482	906
(20368,1,72,0)	0	0	844	945
(20368,1,136,0)	0	0	850	965
(20368,1,151,0)	0	0	776	927
(20369,0,100,0)	0	0	908	983
(20369,0,143,0)	0	0	709	902
(20369,1,43,0)	0	0	598	979
(20369,1,67,0)	0	0	720	892
(20369,1,80,0)	0	0	325	897
(20369,1,92,0)	0	0	550	983
(20369,1,94,0)	0	0	689	951
(20369,1,98,0)	0	0	622	937
(20369,1,112,0)	0	0	882	1000
(20369,1,122,0)	0	0	766	952
(20369,1,166,0)	0	0	760	937
(20370,0,160,0)	0	0	856	963
(20370,1,15,0)	0	0	730	939
(20370,1,36,0)	0	0	406	801
(20370,1,147,0)	0	0	708	868
(20370,1,164,0)	0	0	822	961
(20370,1,206,0)	0	0	719	938
(20371,0,36,0)	0	0	418	718
(20371,0,40,0)	0	0	811	880
(20371,1,8,0)	0	0	911	986
(20371,1,47,0)	0	0	891	978
(20371,1,50,0)	0	0	539	854
(20371,1,71,0)	0	0	756	924
(20371,1,89,0)	0	0	545	917
(20371,1,116,0)	0	0	731	955
(20371,1,142,0)	0	0	905	987
(20371,1,154,0)	0	0	924	996
(20371,1,167,0)	0	0	397	891
(20372,0,80,0)	0	0	616	952
(20372,0,102,0)	0	0	716	905
(20372,0,156,0)	0	0	689	899
(20372,1,5,0)	0	0	743	983
(20372,1,24,0)	0	0	533	841
(20372,1,34,0)	0	0	746	897
(20372,1,56,0)	0	0	584	829
(20372,1,100,0)	0	0	435	928
(20372,1,116,0)	0	0	881	917
(20372,1,144,0)	0	0	719	905
(20372,1,160,0)	0	0	418	769
(20373,0,61,0)	0	0	856	932
(20373,0,132,0)	0	0	276	806
(20373,1,15,0)	0	0	943	964
(20373,1,59,0)	0	0	582	938
(20373,1,105,0)	0	0	412	901
(20373,1,114,0)	0	0	924	917
(20373,1,141,0)	0	0	819	921
(20373,1,148,0)	0	0	783	977
(20373,1,157,0)	0	0	833	888
(20374,0,36,0)	0	0	383	757
(20374,0,86,0)	0	0	637	920
(20374,0,112,0)	0	0	760	872
(20374,1,17,0)	0	0	851	961
(20374,1,90,0)	0	0	583	957
(20374,1,111,0)	0	0	863	932
(20374,1,136,0)	0	0	681	905
(20374,1,195,0)	0	0	610	893
(20375,0,61,0)	0	0	812	994
(20375,1,14,0)	0	0	886	949
(20375,1,27,0)	0	0	777	945
(20375,1,37,0)	0	0	388	816
(20375,1,41,0)	0	0	416	939
(20375,1,58,0)	0	0	952	978
(20375,1,65,0)	0	0	267	804
(20375,1,66,0)	0	0	780	987
(20375,1,75,0)	0	0	791	948
(20375,1,126,0)	0	0	553	857
(20375,1,134,0)	0	0	29	59
(20375,1,155,0)	0	0	432	864
(20376,0,36,0)	0	0	817	935
(20376,0,179,0)	0	0	504	880
(20376,0,181,0)	0	0	461	919
(20376,1,35,0)	0	0	379	779
(20376,1,44,0)	0	0	874	978
(20376,1,142,0)	0	0	721	957
(20376,1,158,0)	0	0	815	958
(20376,1,189,0)	0	0	765	904
(20376,1,202,0)	0	0	893	937
(20377,0,78,0)	0	0	718	961
(20377,0,129,0)	0	0	709	920
(20377,0,164,0)	0	0	856	978
(20377,1,63,0)	0	0	573	954
(20377,1,70,0)	0	0	765	973
(20377,1,166,0)	0	0	786	966
(20378,0,94,0)	0	0	831	984
(20378,0,153,0)	0	0	516	903
(20378,1,14,0)	0	0	311	799
(20378,1,24,0)	0	0	844	927
(20378,1,47,0)	0	0	659	958
(20378,1,74,0)	0	0	415	942
(20378,1,104,0)	0	0	318	816
(20378,1,105,0)	0	0	791	938
(20378,1,149,0)	0	0	719	913
(20378,1,155,0)	0	0	405	822
(20378,1,180,0)	0	0	754	937
(20379,1,81,0)	0	0	886	1000
(20379,1,126,0)	0	0	860	994
(20379,1,169,0)	0	0	619	921
(20379,1,184,0)	0	0	839	893
(20380,0,16,0)	0	0	607	910
(20380,0,117,0)	0	0	851	897
(20380,1,114,0)	0	0	305	678
(20380,1,121,0)	0	0	976	940
(20380,1,124,0)	0	0	544	801
(20380,1,146,0)	0	0	513	851
(20380,1,188,0)	0	0	868	943
(20381,0,146,0)	0	0	402	873
(20381,0,199,0)	0	0	387	784
(20381,1,5,0)	0	0	725	957
(20381,1,54,0)	0	0	740	865
(20381,1,83,0)	0	0	581	799
(20381,1,84,0)	0	0	967	996
(20381,1,91,0)	0	0	614	885
(20381,1,102,0)	0	0	682	872
(20381,1,117,0)	0	0	888	977
(20381,1,118,0)	0	0	433	876
(20381,1,139,0)	0	0	583	873
(20381,1,181,0)	0	0	984	977
(20381,1,188,0)	0	0	571	799
(20382,0,53,0)	0	0	377	567
(20382,0,100,0)	0	0	843	957
(20382,0,139,0)	0	0	537	911
(20382,1,10,0)	0	0	857	974
(20382,1,31,0)	0	0	774	981
(20382,1,43,0)	0	0	103	419
(20382,1,55,0)	0	0	516	894
(20382,1,75,0)	0	0	724	971
(20382,1,83,0)	0	0	763	935
(20382,1,109,0)	0	0	887	915
(20382,1,162,0)	0	0	691	930
(20382,1,164,0)	0	0	655	962
(20383,0,7,0)	0	0	820	789
(20383,0,72,0)	0	0	248	783
(20383,1,9,0)	0	0	652	884
(20383,1,12,0)	0	0	820	984
(20383,1,23,0)	0	0	429	856
(20383,1,49,0)	0	0	834	959
(20383,1,74,0)	0	0	945	1000
(20383,1,124,0)	0	0	761	940
(20384,0,37,0)	0	0	721	925
(20384,0,107,0)	0	0	500	872
(20384,0,154,0)	0	0	513	959
(20384,0,190,0)	0	0	785	855
(20384,1,34,0)	0	0	378	852
(20384,1,42,0)	0	0	518	847
(20384,1,55,0)	0	0	696	915
(20384,1,86,0)	0	0	491	847
(20384,1,101,0)	0	0	734	826
(20384,1,108,0)	0	0	547	863
(20384,1,180,0)	0	0	896	984
(20384,1,199,0)	0	0	493	937
(20385,0,7,0)	0	0	451	829
(20385,0,9,0)	0	0	400	817
(20385,0,110,0)	0	0	898	979
(20385,0,177,0)	0	0	524	863
(20385,1,37,0)	0	0	651	894
(20385,1,84,0)	0	0	530	815
(20385,1,161,0)	0	0	982	1000
(20385,1,166,0)	0	0	784	954
(20386,0,156,0)	0	0	549	882
(20386,1,100,0)	0	0	992	1000
(20386,1,157,0)	0	0	252	862
(20386,1,185,0)	0	0	733	973
(20386,1,189,0)	0	0	898	997
(20387,0,101,0)	0	0	37	154
(20387,1,0,0)	0	0	524	885
(20387,1,76,0)	0	0	586	847
(20387,1,144,0)	0	0	526	933
(20387,1,177,0)	0	0	380	904
(20387,1,180,0)	0	0	765	952
(20388,0,37,0)	0	0	502	912
(20388,0,103,0)	0	0	618	854
(20388,0,194,0)	0	0	543	817
(20388,1,17,0)	0	0	909	967
(20388,1,69,0)	0	0	531	955
(20388,1,109,0)	0	0	504	901
(20388,1,161,0)	0	0	237	745
(20389,0,21,0)	0	0	374	904
(20389,0,81,0)	0	0	808	979
(20389,0,116,0)	0	0	902	996
(20389,0,160,0)	0	0	680	908
(20389,0,162,0)	0	0	818	930
(20389,1,96,0)	0	0	138	844
(20389,1,103,0)	0	0	413	766
(20389,1,152,0)	0	0	771	927
(20389,1,200,0)	0	0	718	985
(20390,0,29,0)	0	0	787	944
(20390,0,128,0)	0	0	554	929
(20390,0,141,0)	0	0	476	849
(20390,0,190,0)	0	0	485	795
(20390,1,52,0)	0	0	809	929
(20390,1,56,0)	0	0	603	920
(20390,1,102,0)	0	0	771	885
(20390,1,107,0)	0	0	279	852
(20390,1,109,0)	0	0	519	905
(20390,1,130,0)	0	0	822	977
(20390,1,164,0)	0	0	631	941
(20390,1,174,0)	0	0	737	986
(20390,1,212,0)	0	0	682	948
(20391,0,4,0)	0	0	495	744
(20391,0,77,0)	0	0	563	817
(20391,0,107,0)	0	0	866	958
(20391,1,6,0)	0	0	612	891
(20391,1,12,0)	0	0	418	925
(20391,1,48,0)	0	0	481	926
(20391,1,54,0)	0	0	591	912
(20391,1,105,0)	0	0	570	900
(20391,1,140,0)	0	0	881	987
(20391,1,146,0)	0	0	430	903
(20391,1,160,0)	0	0	644	949
(20391,1,178,0)	0	0	804	920
(20391,1,196,0)	0	0	422	726
(20392,0,20,0)	0	0	618	827
(20392,0,88,0)	0	0	269	827
(20392,1,0,0)	0	0	484	908
(20392,1,25,0)	0	0	785	949
(20392,1,38,0)	0	0	468	926
(20392,1,65,0)	0	0	832	916
(20392,1,70,0)	0	0	803	956
(20392,1,113,0)	0	0	881	925
(20392,1,185,0)	0	0	532	949
(20392,1,196,0)	0	0	450	867
(20393,0,189,0)	0	0	513	865
(20393,1,17,0)	0	0	476	873
(20393,1,41,0)	0	0	622	867
(20393,1,81,0)	0	0	941	977
(20393,1,107,0)	0	0	380	917
(20393,1,157,0)	0	0	750	912
(20394,1,12,0)	0	0	654	909
(20394,1,23,0)	0	0	404	736
(20394,1,62,0)	0	0	565	856
(20394,1,112,0)	0	0	866	965
(20394,1,133,0)	0	0	509	942
(20394,1,164,0)	0	0	629	927
(20394,1,184,0)	0	0	554	859
(20394,1,199,0)	0	0	981	978
(20395,0,31,0)	0	0	858	989
(20395,0,93,0)	0	0	945	948
(20395,0,144,0)	0	0	633	810
(20395,1,14,0)	0	0	574	717
(20395,1,42,0)	0	0	770	970
(20395,1,58,0)	0	0	986	1000
(20395,1,60,0)	0	0	211	802
(20395,1,71,0)	0	0	833	929
(20395,1,95,0)	0	0	460	899
(20395,1,118,0)	0	0	884	967
(20395,1,145,0)	0	0	592	880
(20395,1,154,0)	0	0	416	867
(20396,0,22,0)	0	0	360	612
(20396,0,57,0)	0	0	609	893
(20396,0,114,0)	0	0	942	957
(20396,1,22,0)	0	0	620	911
(20396,1,26,0)	0	0	606	937
(20396,1,63,0)	0	0	570	965
(20396,1,120,0)	0	0	631	936
(20396,1,130,0)	0	0	990	1000
(20396,1,172,0)	0	0	546	882
(20397,0,35,0)	0	0	490	922
(20397,0,55,0)	0	0	586	943
(20397,0,122,0)	0	0	596	916
(20397,0,155,0)	0	0	439	795
(20397,1,20,0)	0	0	638	927
(20397,1,21,0)	0	0	80	365
(20397,1,31,0)	0	0	659	906
(20397,1,36,0)	0	0	344	779
(20397,1,40,0)	0	0	616	769
(20397,1,56,0)	0	0	877	995
(20397,1,79,0)	0	0	690	799
(20397,1,87,0)	0	0	944	998
(20397,1,92,0)	0	0	876	986
(20397,1,139,0)	0	0	689	886
(20397,1,145,0)	0	0	917	998
(20397,1,186,0)	0	0	468	920
(20397,1,190,0)	0	0	785	933
(20398,0,69,0)	0	0	453	951
(20398,0,105,0)	0	0	715	969
(20398,0,136,0)	0	0	408	764
(20398,1,1,0)	0	0	995	1000
(20398,1,38,0)	0	0	319	842
(20398,1,66,0)	0	0	553	942
(20398,1,70,0)	0	0	568	928
(20398,1,100,0)	0	0	900	960
(20398,1,142,0)	0	0	739	951
(20399,0,43,0)	0	0	724	926
(20399,1,71,0)	0	0	700	868
(20399,1,124,0)	0	0	610	896
(20399,1,149,0)	0	0	701	984
(20399,1,177,0)	0	0	796	970
(20400,0,84,0)	0	0	762	930
(20400,1,4,0)	0	0	940	962
(20400,1,26,0)	0	0	654	940
(20400,1,49,0)	0	0	948	973
(20400,1,73,0)	0	0	721	976
(20400,1,134,0)	0	0	689	868
(20400,1,174,0)	0	0	830	992
(20401,0,104,0)	0	0	547	886
(20401,0,164,0)	0	0	428	782
(20401,0,179,0)	0	0	675	908
(20401,1,6,0)	0	0	976	972
(20401,1,74,0)	0	0	705	987
(20401,1,75,0)	0	0	776	992
(20401,1,130,0)	0	0	559	925
(20402,0,3,0)	0	0	904	988
(20402,0,59,0)	0	0	809	966
(20402,0,116,0)	0	0	737	969
(20402,1,5,0)	0	0	768	991
(20402,1,71,0)	0	0	427	842
(20402,1,99,0)	0	0	454	909
(20402,1,115,0)	0	0	531	907
(20402,1,125,0)	0	0	750	924
(20402,1,149,0)	0	0	878	953
(20402,1,163,0)	0	0	566	877
(20402,1,176,0)	0	0	731	891
(20402,1,195,0)	0	0	732	969
(20402,1,211,0)	0	0	630	967
(20403,0,110,0)	0	0	624	904
(20403,1,27,0)	0	0	342	683
(20403,1,141,0)	0	0	297	843
(20404,0,165,0)	0	0	631	931
(20404,0,173,0)	0	0	387	916
(20404,0,181,0)	0	0	769	983
(20404,1,44,0)	0	0	560	869
(20404,1,50,0)	0	0	643	908
(20404,1,93,0)	0	0	762	928
(20404,1,118,0)	0	0	512	881
(20404,1,157,0)	0	0	614	711
(20404,1,159,0)	0	0	690	948
(20404,1,196,0)	0	0	798	909
(20405,0,3,0)	0	0	630	948
(20405,0,144,0)	0	0	414	856
(20405,0,163,0)	0	0	483	856
(20405,1,33,0)	0	0	488	799
(20405,1,51,0)	0	0	409	921
(20405,1,72,0)	0	0	771	955
(20405,1,96,0)	0	0	644	951
(20405,1,116,0)	0	0	698	866
(20405,1,118,0)	0	0	419	776
(20405,1,119,0)	0	0	654	936
(20405,1,161,0)	0	0	653	949
(20405,1,190,0)	0	0	266	687
(20406,0,87,0)	0	0	814	904
(20406,0,96,0)	0	0	576	925
(20406,0,177,0)	0	0	896	972
(20406,1,58,0)	0	0	132	636
(20406,1,72,0)	0	0	880	999
(20406,1,117,0)	0	0	565	835
(20406,1,142,0)	0	0	608	948
(20406,1,175,0)	0	0	794	939
(20406,1,201,0)	0	0	292	752
(20406,1,203,0)	0	0	553	847
(20407,1,20,0)	0	0	759	913
(20407,1,43,0)	0	0	937	961
(20407,1,47,0)	0	0	649	859
(20407,1,66,0)	0	0	870	914
(20407,1,75,0)	0	0	512	763
(20407,1,117,0)	0	0	648	935
(20407,1,171,0)	0	0	924	998
(20407,1,208,0)	0	0	333	832
(20407,1,213,0)	0	0	504	716
(20407,1,214,0)	0	0	516	963
(20407,1,218,0)	0	0	715	951
(20408,1,23,0)	0	0	529	883
(20408,1,54,0)	0	0	845	930
(20408,1,72,0)	0	0	762	895
(20408,1,107,0)	0	0	685	862
(20408,1,113,0)	0	0	504	945
(20408,1,132,0)	0	0	470	793
(20408,1,164,0)	0	0	584	797
(20408,1,172,0)	0	0	748	963
(20408,1,205,0)	0	0	652	967
(20409,0,55,0)	0	0	545	866
(20409,1,19,0)	0	0	878	933
(20409,1,61,0)	0	0	565	853
(20409,1,97,0)	0	0	672	866
(20409,1,103,0)	0	0	640	812
(20409,1,136,0)	0	0	562	899
(20409,1,143,0)	0	0	643	839
(20409,1,158,0)	0	0	439	871
(20409,1,190,0)	0	0	605	930
(20409,1,192,0)	0	0	839	937
(20410,0,152,0)	0	0	553	762
(20410,0,157,0)	0	0	786	928
(20410,0,199,0)	0	0	697	950
(20410,1,2,0)	0	0	899	970
(20410,1,17,0)	0	0	564	943
(20410,1,101,0)	0	0	567	811
(20410,1,103,0)	0	0	586	913
(20410,1,109,0)	0	0	573	886
(20410,1,117,0)	0	0	428	881
(20410,1,182,0)	0	0	616	879
(20411,0,15,0)	0	0	589	976
(20411,1,10,0)	0	0	469	893
(20411,1,34,0)	0	0	547	894
(20411,1,60,0)	0	0	404	873
(20411,1,120,0)	0	0	355	900
(20411,1,142,0)	0	0	838	953
(20411,1,153,0)	0	0	994	967
(20412,0,35,0)	0	0	508	908
(20412,0,77,0)	0	0	855	937
(20412,0,117,0)	0	0	685	810
(20412,1,2,0)	0	0	746	865
(20412,1,9,0)	0	0	767	921
(20412,1,27,0)	0	0	811	959
(20412,1,51,0)	0	0	278	857
(20412,1,53,0)	0	0	521	906
(20412,1,109,0)	0	0	789	900
(20412,1,187,0)	0	0	514	911
(20413,1,3,0)	0	0	379	923
(20413,1,14,0)	0	0	668	955
(20413,1,33,0)	0	0	522	939
(20413,1,93,0)	0	0	584	812
